City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
464,Peterhead,57.5058,-1.7981,51.46,97,100,14.27,GB,2022-04-17 01:51:59
465,Port Lincoln,-34.7333,135.8667,66.49,74,100,9.08,AU,2022-04-17 01:50:48
466,Saint-Leu,-21.15,55.2833,72.46,76,7,2.35,RE,2022-04-17 01:51:51
467,Moyale,3.5167,39.0584,67.32,79,100,1.48,KE,2022-04-17 01:52:00
468,Moerai,-22.4333,-151.3333,80.22,68,5,3.15,PF,2022-04-17 01:52:01
469,Puerto Baquerizo Moreno,-0.9,-89.6,75.52,87,56,7.31,EC,2022-04-17 01:52:01
470,Fonte Boa,-2.4959,-66.2662,73.27,95,100,2.15,BR,2022-04-17 01:52:01
471,Dan Khun Thot,15.2085,101.7714,91.67,56,84,3.87,TH,2022-04-17 01:52:02
472,Karratha,-20.7377,116.8463,92.86,31,10,5.32,AU,2022-04-17 01:52:03
473,Buta,2.7858,24.73,68.83,99,96,2.57,CD,2022-04-17 01:52:03
474,Amparafaravola,-17.5833,48.2167,61.38,95,3,4.9,MG,2022-04-17 01:52:04
475,Saint-Francois,46.4154,3.9054,47.68,66,0,5.75,FR,2022-04-17 01:51:02
476,Arman,59.7,150.1667,27.66,63,67,4.72,RU,2022-04-17 01:52:05
477,Kathmandu,27.7167,85.3167,61.02,55,20,4.61,NP,2022-04-17 01:50:31
478,Puerto Escondido,15.85,-97.0667,81.81,73,9,7.23,MX,2022-04-17 01:52:05
479,Kamra,33.7473,73.5111,67.95,34,100,9.48,PK,2022-04-17 01:52:06
480,Kamenka,51.3223,42.7678,50.22,78,100,12.08,RU,2022-04-17 01:50:10
481,Nizamabad,18.6667,78.1167,88.59,37,56,11.9,IN,2022-04-17 01:52:07
482,Hamilton,39.1834,-84.5333,52.43,53,15,3.0,US,2022-04-17 01:49:18
483,Agirish,61.9247,63.0231,25.54,93,100,4.14,RU,2022-04-17 01:52:08
484,Sao Felix Do Xingu,-6.6447,-51.995,72.12,99,94,1.1,BR,2022-04-17 01:52:08
485,Santiago,-33.4569,-70.6483,70.99,47,0,6.91,CL,2022-04-17 01:52:09
486,Socastee,33.6835,-78.9984,68.32,92,0,9.22,US,2022-04-17 01:52:10
487,Dicamay,16.7561,122.0037,81.07,73,59,4.76,PH,2022-04-17 01:52:11
488,Batagay,67.6333,134.6333,18.45,81,100,2.55,RU,2022-04-17 01:52:11
489,Esperance,-33.8667,121.9,62.44,64,93,15.35,AU,2022-04-17 01:52:12
490,Omsukchan,62.5333,155.8,19.98,89,100,8.28,RU,2022-04-17 01:52:12
491,Cockburn Town,21.4612,-71.1419,77.63,85,100,23.29,TC,2022-04-17 01:47:59
492,Ampanihy,-24.7,44.75,69.21,98,34,3.78,MG,2022-04-17 01:52:13
493,Preobrazheniye,42.9019,133.9064,49.8,35,100,6.26,RU,2022-04-17 01:52:14
494,Presidente Franco,-25.5333,-54.6167,63.12,94,0,2.3,PY,2022-04-17 01:52:14
495,Pucara,-15.9803,-71.4606,32.13,31,54,1.45,PE,2022-04-17 01:52:15
496,Pundong,-7.9522,110.3486,84.49,73,100,3.18,ID,2022-04-17 01:52:15
497,Rio Gallegos,-51.6226,-69.2181,46.45,87,0,8.05,AR,2022-04-17 01:52:16
498,Yeppoon,-23.1333,150.7333,80.38,57,2,12.59,AU,2022-04-17 01:52:16
499,Balabac,7.9868,117.0645,83.88,70,83,4.72,PH,2022-04-17 01:52:17
500,Bani,18.2833,-70.3333,76.44,86,67,8.66,DO,2022-04-17 01:52:17
501,Shelburne,44.0787,-80.2041,30.65,78,99,9.84,CA,2022-04-17 01:52:18
502,Norman Wells,65.282,-126.8329,17.64,38,0,4.61,CA,2022-04-17 01:47:44
503,Baculin,7.4525,126.5842,83.39,74,42,4.52,PH,2022-04-17 01:52:19
504,Raudeberg,61.9875,5.1352,43.86,72,100,9.28,NO,2022-04-17 01:53:19
505,Klaksvik,62.2266,-6.589,47.32,97,100,22.53,FO,2022-04-17 01:53:20
506,Gaeta,41.2183,13.5628,55.08,80,100,10.92,IT,2022-04-17 01:53:20
507,Hualmay,-11.0964,-77.6139,66.58,84,99,8.79,PE,2022-04-17 01:53:19
508,Sinnamary,5.3833,-52.95,77.79,87,100,10.65,GF,2022-04-17 01:53:21
509,Waw,7.7029,27.9953,76.44,73,100,4.0,SS,2022-04-17 01:53:21
510,Funadhoo,6.15,73.2667,84.25,71,75,7.16,MV,2022-04-17 01:53:22
511,Lac-Megantic,45.5834,-70.8823,36.55,88,100,3.33,CA,2022-04-17 01:53:23
512,Noumea,-22.2763,166.4572,84.18,99,0,12.28,NC,2022-04-17 01:53:23
513,Zhigansk,66.7697,123.3711,15.48,94,100,15.23,RU,2022-04-17 01:53:23
514,Darhan,49.4867,105.9228,51.3,35,77,4.68,MN,2022-04-17 01:53:24
515,Alto Araguaia,-17.3147,-53.2153,63.23,74,0,6.02,BR,2022-04-17 01:53:25
516,Axim,4.8699,-2.2405,75.24,88,100,3.27,GH,2022-04-17 01:53:26
517,Sanandaj,35.3144,46.9923,35.62,56,0,4.61,IR,2022-04-17 01:53:26
518,Luderitz,-26.6481,15.1594,61.7,62,0,11.81,NA,2022-04-17 01:50:58
519,Wairoa,-39.0333,177.3667,63.55,66,98,5.01,NZ,2022-04-17 01:53:27
520,Balikpapan,-1.2675,116.8289,81.59,83,20,4.61,ID,2022-04-17 01:53:27
521,Iracoubo,5.4802,-53.2011,77.74,87,100,10.02,GF,2022-04-17 01:53:28
522,Tevaitoa,-16.7833,-151.5,81.88,71,9,11.1,PF,2022-04-17 01:53:28
523,Marsa Matruh,31.3525,27.2453,73.6,31,0,11.5,EG,2022-04-17 01:53:28
524,Port Moresby,-9.4431,147.1797,87.22,66,40,3.44,PG,2022-04-17 01:52:52
525,Hennebont,47.8051,-3.2734,55.9,80,0,5.75,FR,2022-04-17 01:53:29
526,Sitrah,26.1547,50.6206,80.82,42,0,11.5,BH,2022-04-17 01:53:30
