City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
187,Manhattan,US,40.7834,-73.9662,46.6,66,40,6.91,scattered clouds
188,Bandarbeyla,SO,9.4942,50.8122,76.51,76,9,20.74,clear sky
189,Conde,BR,-7.2597,-34.9075,77.81,77,58,10.13,broken clouds
190,Vanimo,PG,-2.6741,141.3028,80.24,76,100,5.73,overcast clouds
191,Souillac,MU,-20.5167,57.5167,75.33,80,6,5.39,clear sky
192,Hargeysa,SO,9.56,44.065,59.07,90,65,18.45,broken clouds
193,Itaituba,BR,-4.2761,-55.9836,72.41,99,99,1.03,overcast clouds
194,Henties Bay,NA,-22.116,14.2845,61.48,88,64,4.05,broken clouds
195,Lodja,CD,-3.4833,23.4333,68.25,97,100,1.97,overcast clouds
196,Leshukonskoye,RU,64.8989,45.7622,10.15,95,100,6.15,overcast clouds
197,Korla,CN,41.7597,86.1469,14.31,69,0,2.55,clear sky
198,Hamilton,US,39.1834,-84.5333,57.76,81,100,8.81,overcast clouds
199,Maceio,BR,-9.6658,-35.7353,76.44,94,40,3.44,scattered clouds
200,Cosala,MX,24.4125,-106.6908,61.97,63,100,1.28,overcast clouds
201,San Jacinto,US,33.7839,-116.9586,55.98,81,100,3.0,overcast clouds
202,Mayskiy,RU,47.6931,40.1025,33.21,93,100,6.87,overcast clouds
203,Port Lincoln,AU,-34.7333,135.8667,65.52,58,3,14.2,clear sky
204,Necochea,AR,-38.5473,-58.7368,65.17,59,7,4.81,clear sky
205,Grand-Santi,GF,4.25,-54.3833,72.03,97,100,2.48,overcast clouds
206,Sinaloa,MX,25.0,-107.5,67.1,80,100,1.77,overcast clouds
207,San Cristobal,VE,7.7669,-72.225,64.98,94,26,1.19,scattered clouds
208,Tasiilaq,GL,65.6145,-37.6368,6.96,65,15,4.59,few clouds
209,Jumla,NP,29.2747,82.1838,36.03,67,4,2.77,clear sky
210,Plouzane,FR,48.3833,-4.6167,51.85,85,100,20.71,light rain
211,Voorst,NL,52.1667,6.1333,44.15,90,83,15.28,broken clouds
212,Saint Anthony,US,45.0205,-93.218,31.95,86,100,12.66,overcast clouds
213,Kemin,KG,42.7846,75.6892,25.92,91,95,3.69,overcast clouds
214,Imeni Poliny Osipenko,RU,52.4201,136.4853,-4.86,96,99,8.55,overcast clouds
215,Barcelos,PT,41.5388,-8.6151,60.94,93,100,17.43,overcast clouds
216,Dutse,NG,11.7594,9.3392,55.2,25,4,8.37,clear sky
217,Darnah,LY,32.767,22.6367,59.77,74,37,9.04,scattered clouds
218,Evensk,RU,61.95,159.2333,-8.25,76,91,10.02,overcast clouds
219,Cabo San Lucas,MX,22.8909,-109.9124,72.05,73,56,7.0,broken clouds
220,Gaurela,IN,22.75,81.9,56.07,37,1,1.41,clear sky
221,Coihaique,CL,-45.5752,-72.0662,55.35,54,40,4.61,scattered clouds
222,Cayenne,GF,4.9333,-52.3333,75.24,94,75,1.14,broken clouds
223,Lata,PT,40.1629,-8.3327,61.07,94,100,10.04,overcast clouds
224,Riberalta,BO,-10.9833,-66.1,74.52,88,100,3.13,overcast clouds
225,Vestmannaeyjar,IS,63.4427,-20.2734,21.2,62,8,19.91,clear sky
226,Komsomolskiy,UZ,40.4272,71.7189,32.72,86,75,2.3,fog
227,Constitucion,CL,-35.3333,-72.4167,57.29,84,1,4.65,clear sky
228,Hastings,GB,50.8552,0.5729,49.91,84,45,23.2,scattered clouds
229,Xuddur,SO,4.1213,43.8894,68.02,71,5,16.89,clear sky
230,Saint-Pierre,RE,-21.3393,55.4781,73.9,68,0,4.61,light rain
231,Vila Velha,BR,-20.3297,-40.2925,78.75,87,0,9.22,clear sky
232,Saint-Georges,GD,12.0564,-61.7485,75.65,87,42,12.86,scattered clouds
233,Itaporanga,BR,-7.3044,-38.1503,83.55,46,92,7.45,overcast clouds
234,Alice Springs,AU,-23.7,133.8833,88.21,40,87,18.41,overcast clouds
235,Shenjiamen,CN,29.9576,122.298,47.16,62,97,12.77,overcast clouds
236,Burgeo,CA,47.6167,-57.6152,27.16,73,100,15.93,overcast clouds
237,Bondo,CD,3.8146,23.6866,65.64,55,2,2.26,clear sky
238,Jiayuguan,CN,39.8167,98.3,16.3,46,99,5.21,overcast clouds
239,Nome,US,64.5011,-165.4064,2.16,87,100,6.51,overcast clouds
240,Salinopolis,BR,-0.6136,-47.3561,77.7,85,100,8.9,overcast clouds
241,San Isidro,PE,-12.1167,-77.05,75.02,74,100,8.21,overcast clouds
242,Yining,CN,29.0361,114.5636,42.42,67,5,0.67,clear sky
243,Cacapava Do Sul,BR,-30.5122,-53.4914,62.38,36,0,1.41,clear sky
244,Mahebourg,MU,-20.4081,57.7,73.26,77,12,5.21,few clouds
245,Ise,JP,34.4833,136.7,43.92,51,8,17.52,clear sky
246,Buala,SB,-8.145,159.5921,83.44,73,100,6.85,overcast clouds
247,Rusape,ZW,-18.5278,32.1284,59.7,84,10,3.49,clear sky
248,Inhambane,MZ,-23.865,35.3833,75.06,78,100,4.07,overcast clouds
249,Vao,NC,-22.6667,167.4833,77.43,87,95,27.51,overcast clouds
250,Salvador,SV,13.8333,-88.9167,68.29,82,7,2.51,clear sky
251,Akyab,MM,20.15,92.9,67.03,68,99,5.48,overcast clouds
252,Riyadh,SA,24.6877,46.7219,53.47,42,99,5.1,overcast clouds
253,Rajapalaiyam,IN,9.45,77.5667,71.55,89,18,2.75,few clouds
254,Togur,RU,58.3631,82.8265,2.64,96,100,7.81,light snow
255,Dingle,PH,10.9995,122.6711,82.26,82,100,8.57,overcast clouds
256,Faya,SA,18.3851,42.4509,51.73,83,82,1.01,broken clouds
257,Yar-Sale,RU,66.8333,70.8333,-24.39,100,100,2.33,overcast clouds
258,Samarai,PG,-10.6167,150.6667,84.42,68,100,10.16,overcast clouds
259,Lakes Entrance,AU,-37.8811,147.981,77.16,73,2,11.05,clear sky
260,Rio Grande,BR,-32.035,-52.0986,64.33,63,0,6.85,clear sky
261,Bongor,TD,10.2806,15.3722,62.37,25,29,7.09,scattered clouds
262,Mozarlandia,BR,-14.7447,-50.5706,71.83,96,98,4.85,overcast clouds
263,Vilhena,BR,-12.7406,-60.1458,67.86,97,100,0.69,overcast clouds
264,Harlow,GB,51.7766,0.1116,43.81,90,30,8.05,scattered clouds
265,Basco,PH,20.4487,121.9702,74.21,76,95,23.82,overcast clouds
266,Zalari,RU,53.5584,102.5065,0.01,98,100,3.06,overcast clouds
